Stadtteil,Bezirk,StadtTID,Wohn_07,Wohn_10,Wohn_Change,SozD_07,SozD_10,SozD_Change,Mietpreise,Anteil_ETW,Anteil_KDU,Kind_Arm,Erwa_Arm,Alter_Arm
Tempelhof,Tempelhof-Schöneberg,67,-0.07,0.77,0.84,0.089976447,0.008334665,1.337875862,6.354256853,0.338602329,0.486842105,0.400577041,0.095400795,0.049056075
Tiergarten,Mitte,68,-0.13,1.16,1.29,-0.960626101,-0.975615362,1.190900763,7.350577794,0.305169471,0.027613412,0.482606722,0.115036786,0.121528731
Baumschulenweg,Treptow-Köpenick,69,-0.52,0.28,0.8,0.922798022,1.052845784,-0.37397495,6.597473095,0.210251046,0.415695416,0.28767755,0.089068901,0.012002627
Waidmannslust,Reinickendorf,70,-1.28,-0.8,0.48,0.400977133,0.432169024,0.465120398,4.735711748,0.173245614,0.188207547,0.297077949,0.077136419,0.04108909
Wannsee,Steglitz-Zehlendorf,71,2.75,2.77,0.02,2.182887687,2.173846689,0.211113878,9.70354542,0.41025641,0.088938007,0.046278707,0.02830246,0.013978589
Wedding,Mitte,73,-1.36,0,1.36,-2.270574543,-2.390607152,2.308102945,6.045876205,0.22317189,0.306804374,0.668059941,0.159040354,0.111323
Weißensee,Pankow,74,-0.33,1.34,1.67,0.330498342,0.577383461,-1.00467195,6.68216647,0.411084906,0.057670562,0.268059433,0.101419287,0.024032023
Wilmersdorf,Charlottenburg-Wilmersdorf,76,1.21,2.13,0.92,0.928698692,0.988356414,0.110787993,8.226132779,0.417850753,0.285923754,0.205996993,0.071367434,0.051520454
Wittenau,Reinickendorf,77,-0.86,0.17,1.03,-0.338433338,-0.448756574,1.664043494,5.426258198,0.276427704,0.697391304,0.465437968,0.10366595,0.037016056
Zehlendorf,Steglitz-Zehlendorf,78,2.04,2.79,0.75,1.793414698,1.865153117,-0.230921647,8.150270563,0.59121749,0.564437194,0.103792692,0.039564115,0.015379402
Treptow,Treptow-Köpenick,79,-0.39,0.29,0.68,-0.600879576,-0.136245558,-2.231602778,7.154133788,0.12170088,,0.344962219,0.111423987,0.033073469
Neu-Hohenschönhausen,Lichtenberg,80,-1.26,-1.03,0.23,-1.019471319,-0.961088297,0.701334601,5.315812783,0.15826087,,0.515133289,0.136474287,0.032956667
Plänterwald,Treptow-Köpenick,81,-0.91,-0.34,0.57,0.880154643,0.953863267,0.02816592,6.36985983,0.172920065,,0.289927978,0.09525219,0.014033456
